Coalition/Party,parlimen,percentage_votes
Pakatan Harapan (PH),P.111 Kota Raja,62.36
Pakatan Harapan (PH),P.112 Kuala Langat,41.2
Pakatan Harapan (PH),P.113 Sepang,40.78
Pakatan Harapan (PH),P.114 Kepong,88.92
Pakatan Harapan (PH),P.115 Batu,52.46
Pakatan Harapan (PH),P.116 Wangsa Maju,49.63
Pakatan Harapan (PH),P.117 Segambut,80.05
Pakatan Harapan (PH),P.118 Setiawangsa,46.06
Pakatan Harapan (PH),P.119 Titiwangsa,33.54
Pakatan Harapan (PH),P.120 Bukit Bintang,82.79
Pakatan Harapan (PH),P.121 Lembah Pantai,46.09
Pakatan Harapan (PH),P.122 Seputeh,83.74
Pakatan Harapan (PH),P.123 Cheras,84.04
Pakatan Harapan (PH),P.124 Bandar Tun Razak,46.74
Pakatan Harapan (PH),P.125 Putrajaya,16.34
Pakatan Harapan (PH),P.126 Jelebu,30.18
Pakatan Harapan (PH),P.127 Jempol,33.82
Pakatan Harapan (PH),P.128 Seremban,51.84
Pakatan Harapan (PH),P.129 Kuala Pilah,30.7
Pakatan Harapan (PH),P.130 Rasah,68.04
Pakatan Harapan (PH),P.131 Rembau,30.32
Pakatan Harapan (PH),P.132 Port Dickson,52.4
Pakatan Harapan (PH),P.133 Tampin,36.06
Pakatan Harapan (PH),P.135 Alor Gajah,38.6
Pakatan Harapan (PH),P.136 Tangga Batu,31.03
Pakatan Harapan (PH),P.137 Hang Tuah Jaya,41.72
Pakatan Harapan (PH),P.138 Kota Melaka,60.07
Pakatan Harapan (PH),P.139 Jasin,27.93
Pakatan Harapan (PH),P.140 Segamat,46.27
Pakatan Harapan (PH),P.141 Sekijang,39.27
Pakatan Harapan (PH),P.142 Labis,46.43
Pakatan Harapan (PH),P.143 Pagoh,27.54
Pakatan Harapan (PH),P.144 Ledang,41.9
Pakatan Harapan (PH),P.145 Bakri,50.09
Pakatan Harapan (PH),P.147 Parit Sulong,21.44
Pakatan Harapan (PH),P.148 Ayer Hitam,34.16
Pakatan Harapan (PH),P.149 Sri Gading,37.94
Pakatan Harapan (PH),P.150 Batu Pahat,45.47
Pakatan Harapan (PH),P.151 Simpang Renggam,37.37
